index,구,행정동,연,월,업종,매출,구 내 등수,summarizing
0,금정구,장전2동,2023,8,치킨/닭강정,232600000,1,"장전2동의 2023년 8월 치킨/닭강정 업종의 총매출은 232600000이고, 금정구에서 장전2동의 치킨/닭강정 업종 매출은 1등입니다."
1,금정구,장전2동,2023,8,한식,2961680000,1,"장전2동의 2023년 8월 한식 업종의 총매출은 2961680000이고, 금정구에서 장전2동의 한식 업종 매출은 1등입니다."
2,금정구,장전2동,2023,8,일식,595580000,1,"장전2동의 2023년 8월 일식 업종의 총매출은 595580000이고, 금정구에서 장전2동의 일식 업종 매출은 1등입니다."
3,금정구,장전2동,2023,8,중식,348310000,1,"장전2동의 2023년 8월 중식 업종의 총매출은 348310000이고, 금정구에서 장전2동의 중식 업종 매출은 1등입니다."
4,금정구,장전2동,2023,8,카페/커피/찻집,523130000,1,"장전2동의 2023년 8월 카페/커피/찻집 업종의 총매출은 523130000이고, 금정구에서 장전2동의 카페/커피/찻집 업종 매출은 1등입니다."
5,금정구,청룡노포동,2023,8,치킨/닭강정,40840000,9,"청룡노포동의 2023년 8월 치킨/닭강정 업종의 총매출은 40840000이고, 금정구에서 청룡노포동의 치킨/닭강정 업종 매출은 9등입니다."
6,금정구,청룡노포동,2023,8,한식,702110000,7,"청룡노포동의 2023년 8월 한식 업종의 총매출은 702110000이고, 금정구에서 청룡노포동의 한식 업종 매출은 7등입니다."
7,금정구,청룡노포동,2023,8,일식,37430000,6,"청룡노포동의 2023년 8월 일식 업종의 총매출은 37430000이고, 금정구에서 청룡노포동의 일식 업종 매출은 6등입니다."
8,금정구,청룡노포동,2023,8,중식,7590000,14,"청룡노포동의 2023년 8월 중식 업종의 총매출은 7590000이고, 금정구에서 청룡노포동의 중식 업종 매출은 14등입니다."
9,금정구,청룡노포동,2023,8,카페/커피/찻집,72540000,12,"청룡노포동의 2023년 8월 카페/커피/찻집 업종의 총매출은 72540000이고, 금정구에서 청룡노포동의 카페/커피/찻집 업종 매출은 12등입니다."
10,금정구,남산동,2023,8,치킨/닭강정,165920000,3,"남산동의 2023년 8월 치킨/닭강정 업종의 총매출은 165920000이고, 금정구에서 남산동의 치킨/닭강정 업종 매출은 3등입니다."
11,금정구,남산동,2023,8,한식,1206080000,3,"남산동의 2023년 8월 한식 업종의 총매출은 1206080000이고, 금정구에서 남산동의 한식 업종 매출은 3등입니다."
12,금정구,남산동,2023,8,일식,31140000,7,"남산동의 2023년 8월 일식 업종의 총매출은 31140000이고, 금정구에서 남산동의 일식 업종 매출은 7등입니다."
13,금정구,남산동,2023,8,중식,112050000,4,"남산동의 2023년 8월 중식 업종의 총매출은 112050000이고, 금정구에서 남산동의 중식 업종 매출은 4등입니다."
14,금정구,남산동,2023,8,카페/커피/찻집,164020000,7,"남산동의 2023년 8월 카페/커피/찻집 업종의 총매출은 164020000이고, 금정구에서 남산동의 카페/커피/찻집 업종 매출은 7등입니다."
15,금정구,구서1동,2023,8,치킨/닭강정,197100000,2,"구서1동의 2023년 8월 치킨/닭강정 업종의 총매출은 197100000이고, 금정구에서 구서1동의 치킨/닭강정 업종 매출은 2등입니다."
16,금정구,구서1동,2023,8,한식,2011390000,2,"구서1동의 2023년 8월 한식 업종의 총매출은 2011390000이고, 금정구에서 구서1동의 한식 업종 매출은 2등입니다."
17,금정구,구서1동,2023,8,일식,94380000,3,"구서1동의 2023년 8월 일식 업종의 총매출은 94380000이고, 금정구에서 구서1동의 일식 업종 매출은 3등입니다."
18,금정구,구서1동,2023,8,중식,167300000,2,"구서1동의 2023년 8월 중식 업종의 총매출은 167300000이고, 금정구에서 구서1동의 중식 업종 매출은 2등입니다."
19,금정구,구서1동,2023,8,카페/커피/찻집,182150000,5,"구서1동의 2023년 8월 카페/커피/찻집 업종의 총매출은 182150000이고, 금정구에서 구서1동의 카페/커피/찻집 업종 매출은 5등입니다."
20,금정구,부곡3동,2023,8,치킨/닭강정,153560000,4,"부곡3동의 2023년 8월 치킨/닭강정 업종의 총매출은 153560000이고, 금정구에서 부곡3동의 치킨/닭강정 업종 매출은 4등입니다."
21,금정구,부곡3동,2023,8,한식,965010000,4,"부곡3동의 2023년 8월 한식 업종의 총매출은 965010000이고, 금정구에서 부곡3동의 한식 업종 매출은 4등입니다."
22,금정구,부곡3동,2023,8,일식,82510000,5,"부곡3동의 2023년 8월 일식 업종의 총매출은 82510000이고, 금정구에서 부곡3동의 일식 업종 매출은 5등입니다."
23,금정구,부곡3동,2023,8,중식,58250000,6,"부곡3동의 2023년 8월 중식 업종의 총매출은 58250000이고, 금정구에서 부곡3동의 중식 업종 매출은 6등입니다."
24,금정구,부곡3동,2023,8,카페/커피/찻집,372210000,2,"부곡3동의 2023년 8월 카페/커피/찻집 업종의 총매출은 372210000이고, 금정구에서 부곡3동의 카페/커피/찻집 업종 매출은 2등입니다."
